condition,time_sec,luminance_mean,visual_change,cut_event,flash_proxy,audio_rms_proxy,audio_derivative_proxy,cue_on,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse
control,23.75,65.958,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,24.0,65.58,0.07351,0,0,0.07,0,1,4,0.0,1.0,0
control,24.25,65.195,0.07677,0,0,0.07,0,1,4,0.5,0.866025,0
control,24.5,64.804,0.07973,0,0,0.07,0,1,4,0.866025,0.5,0
control,24.75,64.405,0.08236,0,0,0.07,0,1,4,1.0,0.0,0
control,25.0,64.0,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,25.25,63.589,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,25.5,63.172,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,25.75,62.749,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,26.0,62.321,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,26.25,61.888,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,26.5,61.451,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,26.75,61.009,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,27.0,60.562,0.08804,0,0,0.07,0,1,9,0.0,1.0,0
control,27.25,60.112,0.08654,0,0,0.07,0,1,9,0.5,0.866025,0
control,27.5,59.659,0.08464,0,0,0.07,0,1,9,0.866025,0.5,0
control,27.75,59.202,0.08236,0,0,0.07,0,1,9,1.0,0.0,0
control,28.0,58.742,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,28.25,58.28,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,28.5,57.816,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,28.75,57.349,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,29.0,56.882,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,29.25,56.412,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,29.5,55.942,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,29.75,55.471,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,30.0,55.0,0.05,0,0,0.07,0,1,5,0.0,1.0,0
control,30.25,54.529,0.05418,0,0,0.07,0,1,5,0.5,0.866025,0
control,30.5,54.058,0.05832,0,0,0.07,0,1,5,0.866025,0.5,0
control,30.75,53.588,0.06236,0,0,0.07,0,1,5,1.0,0.0,0
control,31.0,53.118,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,31.25,52.651,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,31.5,52.184,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,31.75,51.72,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,32.0,51.258,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,32.25,50.798,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,32.5,50.341,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,32.75,49.888,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,33.0,49.438,0.08804,0,0,0.07,0,1,1,0.0,1.0,0
control,33.25,48.991,0.08913,0,0,0.07,0,1,1,0.5,0.866025,0
control,33.5,48.549,0.08978,0,0,0.07,0,1,1,0.866025,0.5,0
control,33.75,48.112,0.09,0,0,0.07,0,1,1,1.0,0.0,0
control,34.0,47.679,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,34.25,47.251,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,34.5,46.828,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,34.75,46.411,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,35.0,46.0,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,35.25,45.595,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,35.5,45.196,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,35.75,44.805,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,36.0,44.42,0.07351,0,0,0.07,0,1,4,0.0,1.0,0
control,36.25,44.042,0.07,0,0,0.07,0,1,4,0.5,0.866025,0
control,36.5,43.672,0.06627,0,0,0.07,0,1,4,0.866025,0.5,0
control,36.75,43.31,0.06236,0,0,0.07,0,1,4,1.0,0.0,0
control,37.0,42.956,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,37.25,42.61,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,37.5,42.272,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,37.75,41.943,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,38.0,41.623,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,38.25,41.313,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,38.5,41.011,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,38.75,40.72,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,39.0,40.438,0.07351,0,0,0.07,0,1,10,0.0,1.0,0
control,39.25,40.166,0.07677,0,0,0.07,0,1,10,0.5,0.866025,0
control,39.5,39.904,0.07973,0,0,0.07,0,1,10,0.866025,0.5,0
control,39.75,39.652,0.08236,0,0,0.07,0,1,10,1.0,0.0,0
control,40.0,39.412,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,40.25,39.181,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,40.5,38.962,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,40.75,38.753,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,41.0,38.556,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,41.25,38.37,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,41.5,38.196,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,41.75,38.032,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,42.0,37.881,0.08804,0,0,0.07,0,1,10,0.0,1.0,0
control,42.25,37.741,0.08654,0,0,0.07,0,1,10,0.5,0.866025,0
control,42.5,37.613,0.08464,0,0,0.07,0,1,10,0.866025,0.5,0
control,42.75,37.497,0.08236,0,0,0.07,0,1,10,1.0,0.0,0
control,43.0,37.393,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,43.25,37.301,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,43.5,37.222,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,43.75,37.154,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,44.0,37.099,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,44.25,37.055,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,44.5,37.025,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,44.75,37.006,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,45.0,37.0,0.05,1,0,0.07,0,1,6,0.0,1.0,0
control,45.25,37.006,0.05418,0,0,0.07,0,1,6,0.5,0.866025,0
control,45.5,37.025,0.05832,0,0,0.07,0,1,6,0.866025,0.5,0
control,45.75,37.055,0.06236,0,0,0.07,0,1,6,1.0,0.0,0
control,46.0,37.099,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,46.25,37.154,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,46.5,37.222,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,46.75,37.301,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,47.0,37.393,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,47.25,37.497,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,47.5,37.613,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,47.75,37.741,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,48.0,37.881,0.08804,0,0,0.07,0,1,6,0.0,1.0,0
control,48.25,38.032,0.08913,0,0,0.07,0,1,6,0.5,0.866025,0
control,48.5,38.196,0.08978,0,0,0.07,0,1,6,0.866025,0.5,0
control,48.75,38.37,0.09,0,0,0.07,0,1,6,1.0,0.0,0
control,49.0,38.556,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,49.25,38.753,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,49.5,38.962,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,49.75,39.181,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,50.0,39.412,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,50.25,39.652,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,50.5,39.904,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,50.75,40.166,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,51.0,40.438,0.07351,0,0,0.07,0,1,4,0.0,1.0,0
control,51.25,40.72,0.07,0,0,0.07,0,1,4,0.5,0.866025,0
control,51.5,41.011,0.06627,0,0,0.07,0,1,4,0.866025,0.5,0
control,51.75,41.313,0.06236,0,0,0.07,0,1,4,1.0,0.0,0
control,52.0,41.623,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,52.25,41.943,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,52.5,42.272,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,52.75,42.61,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,53.0,42.956,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,53.25,43.31,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,53.5,43.672,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,53.75,44.042,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,54.0,44.42,0.07351,0,0,0.07,0,1,6,0.0,1.0,0
control,54.25,44.805,0.07677,0,0,0.07,0,1,6,0.5,0.866025,0
control,54.5,45.196,0.07973,0,0,0.07,0,1,6,0.866025,0.5,0
control,54.75,45.595,0.08236,0,0,0.07,0,1,6,1.0,0.0,0
control,55.0,46.0,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,55.25,46.411,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,55.5,46.828,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,55.75,47.251,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,56.0,47.679,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,56.25,48.112,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,56.5,48.549,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,56.75,48.991,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,57.0,49.438,0.08804,0,0,0.07,0,1,3,0.0,1.0,0
control,57.25,49.888,0.08654,0,0,0.07,0,1,3,0.5,0.866025,0
control,57.5,50.341,0.08464,0,0,0.07,0,1,3,0.866025,0.5,0
control,57.75,50.798,0.08236,0,0,0.07,0,1,3,1.0,0.0,0
control,58.0,51.258,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,58.25,51.72,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,58.5,52.184,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,58.75,52.651,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,59.0,53.118,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,59.25,53.588,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,59.5,54.058,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,59.75,54.529,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,60.0,55.0,0.05,0,0,0.07,0,1,4,0.0,1.0,0
control,60.25,55.471,0.05418,0,0,0.07,0,1,4,0.5,0.866025,0
control,60.5,55.942,0.05832,0,0,0.07,0,1,4,0.866025,0.5,0
control,60.75,56.412,0.06236,0,0,0.07,0,1,4,1.0,0.0,0
control,61.0,56.882,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,61.25,57.349,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,61.5,57.816,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,61.75,58.28,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,62.0,58.742,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,62.25,59.202,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,62.5,59.659,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,62.75,60.112,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,63.0,60.562,0.08804,0,0,0.07,0,1,7,0.0,1.0,0
control,63.25,61.009,0.08913,0,0,0.07,0,1,7,0.5,0.866025,0
control,63.5,61.451,0.08978,0,0,0.07,0,1,7,0.866025,0.5,0
control,63.75,61.888,0.09,0,0,0.07,0,1,7,1.0,0.0,0
control,64.0,62.321,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,64.25,62.749,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,64.5,63.172,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,64.75,63.589,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,65.0,64.0,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,65.25,64.405,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,65.5,64.804,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,65.75,65.195,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,66.0,65.58,0.07351,0,0,0.07,0,1,5,0.0,1.0,0
control,66.25,65.958,0.07,0,0,0.07,0,1,5,0.5,0.866025,0
control,66.5,66.328,0.06627,0,0,0.07,0,1,5,0.866025,0.5,0
control,66.75,66.69,0.06236,0,0,0.07,0,1,5,1.0,0.0,0
control,67.0,67.044,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,67.25,67.39,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,67.5,67.728,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,67.75,68.057,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,68.0,68.377,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,68.25,68.687,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,68.5,68.989,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,68.75,69.28,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,69.0,69.562,0.07351,0,0,0.07,0,1,9,0.0,1.0,0
control,69.25,69.834,0.07677,0,0,0.07,0,1,9,0.5,0.866025,0
control,69.5,70.096,0.07973,0,0,0.07,0,1,9,0.866025,0.5,0
control,69.75,70.348,0.08236,0,0,0.07,0,1,9,1.0,0.0,0
control,70.0,70.588,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,70.25,70.819,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,70.5,71.038,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,70.75,71.247,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,71.0,71.444,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,71.25,71.63,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,71.5,71.804,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,71.75,71.968,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,72.0,72.119,0.08804,0,0,0.07,0,1,3,0.0,1.0,0
control,72.25,72.259,0.08654,0,0,0.07,0,1,3,0.5,0.866025,0
control,72.5,72.387,0.08464,0,0,0.07,0,1,3,0.866025,0.5,0
control,72.75,72.503,0.08236,0,0,0.07,0,1,3,1.0,0.0,0
control,73.0,72.607,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,73.25,72.699,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,73.5,72.778,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,73.75,72.846,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,74.0,72.901,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,74.25,72.945,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,74.5,72.975,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,74.75,72.994,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,75.0,73.0,0.05,0,0,0.07,0,1,5,0.0,1.0,0
control,75.25,72.994,0.05418,0,0,0.07,0,1,5,0.5,0.866025,0
control,75.5,72.975,0.05832,0,0,0.07,0,1,5,0.866025,0.5,0
control,75.75,72.945,0.06236,0,0,0.07,0,1,5,1.0,0.0,0
control,76.0,72.901,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,76.25,72.846,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,76.5,72.778,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,76.75,72.699,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,77.0,72.607,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,77.25,72.503,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,77.5,72.387,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,77.75,72.259,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,78.0,72.119,0.08804,0,0,0.07,0,1,3,0.0,1.0,0
control,78.25,71.968,0.08913,0,0,0.07,0,1,3,0.5,0.866025,0
control,78.5,71.804,0.08978,0,0,0.07,0,1,3,0.866025,0.5,0
control,78.75,71.63,0.09,0,0,0.07,0,1,3,1.0,0.0,0
control,79.0,71.444,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,79.25,71.247,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,79.5,71.038,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,79.75,70.819,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,80.0,70.588,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,80.25,70.348,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,80.5,70.096,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,80.75,69.834,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,81.0,69.562,0.07351,0,0,0.07,0,1,2,0.0,1.0,0
control,81.25,69.28,0.07,0,0,0.07,0,1,2,0.5,0.866025,0
control,81.5,68.989,0.06627,0,0,0.07,0,1,2,0.866025,0.5,0
control,81.75,68.687,0.06236,0,0,0.07,0,1,2,1.0,0.0,0
control,82.0,68.377,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,82.25,68.057,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,82.5,67.728,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,82.75,67.39,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,83.0,67.044,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,83.25,66.69,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,83.5,66.328,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,83.75,65.958,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,84.0,65.58,0.07351,0,0,0.07,0,1,9,0.0,1.0,0
control,84.25,65.195,0.07677,0,0,0.07,0,1,9,0.5,0.866025,0
control,84.5,64.804,0.07973,0,0,0.07,0,1,9,0.866025,0.5,0
control,84.75,64.405,0.08236,0,0,0.07,0,1,9,1.0,0.0,0
control,85.0,64.0,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
